Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
1110038F14Rik	799	777	789	514	300	635	770	1012	725	697
1110046J04Rik	12	1	13	7	0	34	5	5	3	7
1110051M20Rik	149	278	169	69	40	83	123	91	48	143
1110057P08Rik	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	721	856	741	319	326	376	509	663	510	661
1110059G10Rik	471	509	499	329	234	378	440	422	370	420
1110060G06Rik	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	57	65	49	35	27	66	58	51	41	49
1190001M18Rik	5	0	6	0	0	0	0	0	2	4
1190002N15Rik	597	585	545	485	441	638	521	455	450	573
1190005I06Rik	1	6	3	0	1	0	1	3	1	1
1190007I07Rik	236	247	221	102	65	99	138	219	117	249
1190028D05Rik	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	1	0	0	0	0	0	0	17	1	4
1300002E11Rik	566	440	466	296	208	371	302	331	289	565
1300014J16Rik	35	51	16	37	13	40	39	30	39	42
1300017J02Rik	76	51	45	65	11	11	48	48	20	134
1500002C15Rik	30	18	26	19	12	17	34	27	31	22
1500002F19Rik	2	2	5	3	1	0	0	5	0	1
1500004A13Rik	155	181	190	113	84	182	163	99	93	195
1500005C15Rik	0	0	0	0	0	0	0	0	1	0
1500009C09Rik	0	2	6	0	0	0	0	0	0	0
1500009L16Rik	1074	1068	881	722	893	941	770	496	588	873
1500011B03Rik	677	769	635	275	141	294	306	384	294	540
1500011K16Rik	190	206	209	96	35	83	139	284	141	191
1500012K07Rik	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	147	184	68	96	64	138	105	81	104	142
1500015L24Rik	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	1	1	4	0	0	3	1	2	6	0
1500026H17Rik	9	11	1	0	0	1	11	3	0	10
1500035N22Rik	0	0	0	0	0	0	0	0	0	0
1520401A03Rik	1	3	8	2	2	15	1	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	0
1600002K03Rik	144	186	197	100	63	160	128	171	138	139
1600010M07Rik	53	86	69	12	5	10	70	177	87	52
1600012H06Rik	774	891	845	530	492	671	698	669	689	721
1600012P17Rik	0	0	0	0	0	0	0	0	1	0
1600014C10Rik	2020	2502	2216	1331	716	1655	2909	4060	3543	2256
1600014C23Rik	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0
1600017P15Rik	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	753	781	668	338	249	497	475	431	387	670
1600023N17Rik	15	11	17	14	4	9	7	9	4	30
1600025M17Rik	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	2	0	0	0	0	1	0	1	0	0
1700001C02Rik	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	3	0	0	6	0	0	0	0	0	2
1700001D01Rik	0	0	0	0	0	1	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	7	4	4	2	5	17	2	12	2	18
1700001G17Rik	4	3	1	6	1	0	5	5	1	8
1700001J03Rik	0	0	0	0	0	0	1	0	0	0
1700001J04Rik	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	1	0	0	0	0	0	0	0	0	0
1700001K19Rik	8	1	7	1	3	2	3	1	2	2
1700001L05Rik	37	15	12	13	7	9	13	11	6	21
1700001L19Rik	0	0	0	0	0	0	0	0	0	0
1700001N15Rik	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	22	29	18	25	25	55	32	5	39	38
1700001P01Rik	0	0	1	0	0	1	2	0	0	4
1700003C15Rik	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	1	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	0	4	1	0
1700003E24Rik	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	2	4	5	2	1	1	3	4	2	2
1700003G13Rik	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	0	1	0	1	0	0	0	0	1	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0
1700003I16Rik	0	4	0	0	0	4	0	0	2	4
1700003I22Rik	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	1	0	9	4
1700003N22Rik	0	0	0	0	0	0	0	0	0	1
1700003P14Rik	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	3	0	0	0	0	0	0	0	0
1700006E09Rik	2	1	0	0	0	0	0	1	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	2	0
1700006J14Rik	25	46	29	11	14	4	27	40	25	75
1700006P03Rik	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	0	0	0	0	0	0	0	0	1	1
1700007J10Rik	1	4	1	0	1	1	1	0	0	2
1700007K09Rik	3	0	0	0	0	0	0	0	1	0
1700007K13Rik	1	1	0	1	0	0	1	2	0	0
1700007L15Rik	114	108	74	51	22	72	90	70	42	61
1700007M16Rik	0	0	0	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0	0	0
1700008A23Rik	0	0	0	0	0	0	0	0	0	0
1700008B11Rik	0	0	0	0	1	0	0	1	2	0
1700008C04Rik	0	0	0	0	0	0	0	0	0	0
1700008H02Rik	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	47	46	44	29	13	31	9	13	32	34
1700008K24Rik	0	0	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	2	0	0	0	0	0	2	0	2	2
1700008P02Rik	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	2	0	0	0	3	5	1	0
1700009N14Rik	0	0	0	4	0	0	0	0	0	0
1700010B08Rik	0	0	1	0	0	0	0	0	1	0
1700010B13Rik	0	1	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	69	82	62	44	36	50	46	62	71	68
1700010J16Rik	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0
1700010K24Rik	0	0	1	1	3	0	1	1	1	2
1700010L04Rik	0	0	0	0	0	0	0	0	0	0
1700010N08Rik	0	0	0	1	0	0	0	0	0	0
1700011B04Rik	21	37	6	3	1	0	26	52	30	16
1700011C11Rik	0	0	0	0	0	0	0	0	0	0
1700011D18Rik	3	0	0	0	0	0	0	0	0	1
1700011H14Rik	0	0	0	0	0	0	0	4	0	0
1700011I03Rik	0	0	5	0	0	0	0	2	3	3
1700011L03Rik	2	16	4	6	1	4	3	0	1	4
1700011L22Rik	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	16	13	15	1	8	15	6	3	6	11
1700012B09Rik	9	10	5	1	0	0	10	12	2	0
1700012C08Rik	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	0	0	0
1700012D14Rik	108	153	147	65	43	73	97	71	81	106
1700012D16Rik	0	0	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0
1700013A02Rik	0	0	3	0	0	0	0	2	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	1	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0
1700013M08Rik	0	0	0	0	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	2	0	0	0
1700014F14Rik	0	0	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0	0	0	0	0
1700015C15Rik	0	0	0	0	0	0	0	0	0	0
1700015C17Rik	4	4	3	1	0	2	4	0	1	1
1700015F17Rik	0	0	0	0	1	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0
1700015I17Rik	0	0	0	0	0	0	0	0	0	0
1700015O11Rik	2	0	0	0	0	0	1	0	1	0
1700016A09Rik	1	0	0	1	1	0	1	0	0	0
1700016B01Rik	0	0	0	0	0	0	0	0	0	0
1700016B15Rik	0	1	1	2	0	0	0	0	2	2
1700016C15Rik	0	1	0	2	2	1	3	2	1	1
1700016D06Rik	0	0	0	0	0	0	0	0	0	0
1700016D08Rik	0	0	0	0	0	0	0	0	0	0
1700016F12Rik	31	27	21	5	3	1	2	32	6	41
1700016G14Rik	3	4	1	2	0	10	0	4	0	2
1700016G22Rik	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0
1700016J18Rik	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	1	0	1	0
1700016L21Rik	0	0	0	0	0	0	0	0	0	0
1700016P03Rik	2	1	6	0	2	0	2	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	2931	2130	2417	1814	1448	2886	2303	1931	1936	2539
1700017D01Rik	1	2	0	0	0	1	1	9	0	7
1700017G19Rik	0	1	0	0	0	0	0	1	0	0
1700017I07Rik	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	0	0	0
1700017M07Rik	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0	0	0	0	0
1700018A14Rik	2	0	2	2	0	0	0	0	2	1
1700018A23Rik	1	0	0	3	1	0	1	2	3	2
1700018B08Rik	1	0	0	0	0	0	0	3	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	25	26	15	9	4	11	26	14	8	19
1700018M17Rik	4	2	0	0	0	0	0	1	1	0
1700018P08Rik	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	3	5	1	0	0	0	0	0	0
1700019A23Rik	0	2	0	0	0	0	0	0	0	0
1700019C18Rik	1	0	4	0	2	2	2	2	0	4
1700019D03Rik	39	239	25	9	9	2	5	7	5	7
1700019E08Rik	0	0	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	0	0
1700019J19Rik	2	1	0	4	1	0	1	2	3	1
1700019M22Rik	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	1	0
1700019P21Rik	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	1	0	0	2	0	1	0	0
1700020D05Rik	2	0	1	1	0	3	0	4	0	3
1700020D12Rik	0	0	0	0	0	0	0	0	0	0
1700020G03Rik	0	5	0	0	0	0	0	1	2	1
1700020G17Rik	0	0	0	0	0	0	0	0	0	0
1700020I14Rik	3123	2322	2897	2027	1587	2903	2524	1941	2120	3092
1700020L24Rik	33	21	28	39	32	33	34	25	11	41
1700020M21Rik	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	1	1	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	0	0	0
1700021A07Rik	52	32	41	28	18	76	56	23	27	62
1700021F02Rik	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	267	324	379	229	162	191	306	394	265	258
1700021F07Rik	0	0	0	0	0	0	0	0	0	0
1700021F13Rik	0	0	0	0	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0	0	0	0	0
1700021J08Rik	8	10	8	11	6	10	12	2	6	2
1700021L23Rik	0	0	0	0	0	0	0	0	0	0
1700021N21Rik	0	2	0	0	0	0	0	0	0	0
1700021P04Rik	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	1	0	0	0	0	0	0	0	0	1
1700022H16Rik	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	1	1	0	0	1
1700022N22Rik	7	2	8	5	1	2	5	9	6	16
1700023C21Rik	0	0	0	0	0	0	0	0	1	0
1700023F02Rik	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0	0	0
1700023G09Rik	0	0	0	0	0	0	0	0	0	0
1700023H06Rik	12	15	18	7	0	1	15	12	13	10
1700024B05Rik	0	0	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	1	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0
1700024I08Rik	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0
1700025A08Rik	0	0	0	0	0	0	0	0	1	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	3	2	0	1	0	0	2	0	2	5
1700025F24Rik	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	117	73	82	101	70	106	149	155	123	72
1700025H01Rik	0	0	0	0	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0
1700025L06Rik	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0
1700025N21Rik	4	2	5	1	1	2	2	0	0	0
1700025N23Rik	6	0	1	2	0	0	2	7	3	2
1700025O08Rik	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	12	11	12	6	6	6	12	6	4	8
1700026F02Rik	0	0	0	0	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	0	0	0
1700027A07Rik	0	0	6	2	1	0	1	2	4	1
1700027A15Rik	0	0	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	2	2	0	0	0	1	1	1	5	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	1	0	0	0	0	0	1	4	1	0
1700028B04Rik	3	7	5	0	1	2	0	1	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	221	205	153	126	91	203	127	84	100	172
1700028I16Rik	0	2	0	0	0	0	0	0	4	0
1700028J19Rik	29	2	8	13	12	23	8	12	1	21
1700028K03Rik	11	0	2	0	0	10	0	6	1	0
1700028M03Rik	0	0	0	0	0	0	0	0	0	0
1700028N14Rik	34	19	30	13	10	8	26	42	23	25
1700028P14Rik	0	0	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0
1700029B24Rik	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	4	1	0	4	2	8	5	1	4	1
1700029I15Rik	16	50	14	18	25	24	16	26	18	10
1700029J03Rik	2	0	0	0	1	0	0	1	0	1
1700029J07Rik	36	16	9	8	7	14	14	23	36	30
1700029M03Rik	0	0	0	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0	0	0	0
1700029N11Rik	0	1	0	0	0	2	0	0	1	0
1700029P11Rik	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	1	0	0	0	0	0	0	1	0
1700030C10Rik	41	16	43	19	15	70	28	54	21	35
1700030C12Rik	2	0	0	0	0	0	0	0	1	0
1700030C14Rik	0	1	0	0	0	0	0	0	0	0
1700030E10Rik	2	1	3	0	0	0	1	0	0	0
1700030F04Rik	0	0	0	0	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	3	8	19	1	1	11	9	5	6	16
1700030K09Rik	217	177	170	150	98	171	171	231	151	260
1700030L20Rik	0	0	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0
1700030N18Rik	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	1	1	0	0	0	0	2	8	3	0
1700034I23Rik	1	4	0	2	3	5	3	1	8	5
1700034J04Rik	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	7	16	9	9	1	1	1	11	1	13
1700036A12Rik	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	109	149	112	99	52	118	126	99	78	121
1700037F03Rik	3	0	0	0	0	0	0	0	0	1
1700037F24Rik	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	608	565	594	322	195	340	360	422	296	636
1700039E22Rik	0	0	0	0	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0	0	0
1700039M10Rik	0	0	0	0	0	0	1	0	1	1
1700039M15Rik	0	0	0	0	0	0	0	0	0	0
1700040D17Rik	3	2	1	0	1	1	0	0	0	4
1700040E09Rik	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0	0	0	0	0
1700040K01Rik	0	0	0	0	0	0	0	0	0	0
1700040L08Rik	0	0	1	0	0	4	1	1	2	5
1700041C23Rik	0	0	0	0	0	0	0	0	0	0
1700041G16Rik	15	32	28	7	5	24	10	32	17	17
1700041I07Rik	0	0	0	0	0	0	0	0	0	0
1700041M05Rik	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0
1700042D02Rik	0	0	0	0	1	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	1	0	1	0	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0	0	0
1700045I11Rik	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0
1700047A11Rik	1	0	1	0	2	0	0	0	0	0
1700047F07Rik	0	0	0	1	0	0	0	3	0	0
1700047G03Rik	0	1	7	0	1	3	0	4	1	0
1700047G07Rik	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0	0	0	0	0
1700047K16Rik	2	13	5	0	0	1	4	3	1	2
1700047L14Rik	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	30	10	8	0	4	0	2	39	17	16
1700047N06Rik	0	0	0	0	2	0	0	0	0	0
1700047O18Rik	0	0	0	0	0	0	0	0	0	0
1700048F04Rik	0	0	0	0	0	0	0	0	0	0
1700048M11Rik	2	3	0	1	1	5	4	3	6	1
1700048O20Rik	65	48	64	35	24	79	84	56	56	118
1700048P04Rik	0	0	0	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0	0	0
1700049J03Rik	4	2	0	0	0	0	0	1	1	0
1700049L16Rik	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0
1700051K13Rik	0	0	0	0	0	0	0	0	0	0
1700051O22Rik	6	3	0	2	0	0	2	0	0	7
1700052H01Rik	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	162	208	131	101	77	104	133	174	110	175
1700054A03Rik	0	0	0	0	0	0	0	0	0	0
1700054K02Rik	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0
1700054O05Rik	0	0	0	0	0	0	0	0	0	0
1700054O19Rik	0	0	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0
1700055D18Rik	14	38	8	12	4	17	4	11	7	9
1700056E22Rik	49	29	30	12	9	26	28	23	28	32
1700056N10Rik	42	41	44	35	20	38	18	24	26	31
1700057G04Rik	0	4	0	1	0	0	2	0	0	0
1700057H15Rik	0	0	0	0	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0	0	0	0	0
1700058P15Rik	12	10	7	2	3	13	7	7	6	11
1700060C16Rik	0	0	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0	0
1700060J05Rik	2	0	0	3	1	3	1	0	0	0
1700060O08Rik	0	0	0	0	0	0	0	0	0	0
1700061E17Rik	0	0	0	0	0	0	0	0	0	0
1700061E18Rik	0	0	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	3	8	2	7	5	7	5	13	9	9
1700061H18Rik	0	0	0	0	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0	0	0
1700061N14Rik	0	0	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0	0	0	0	0
1700063H04Rik	17	20	10	24	4	4	5	6	6	24
1700063H06Rik	0	0	0	0	0	0	0	0	0	0
1700063I16Rik	0	0	0	0	0	0	0	0	0	0
1700063K16Rik	0	0	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	8	5	10	1	3	3	2	2	2	9
1700064J06Rik	0	0	0	0	0	0	0	0	0	0
1700064M15Rik	5	0	1	2	2	1	0	2	2	1
1700065D16Rik	14	1	1	6	9	1	2	13	4	7
1700065I16Rik	0	0	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0	0	0
