Gene	L10.D8.Tox.WT5.Tim3n_S10	L12.D8.Tox.KO1.Tim3n_S12	L14.D8.Tox.KO2.Tim3n_S14	L16.D8.Tox.KO3.Tim3n_S1	L18.D8.Tox.KO4.Tim3n_S3	L20.D8.Tox.KO5.Tim3n_S5	L2.D8.Tox.WT1.Tim3n_S2	L4.D8.Tox.WT2.Tim3n_S4	L6.D8.Tox.WT3.Tim3n_S6	L8.D8.Tox.WT4.Tim3n_S8
1110036E04Rik	0	0	0	0	0	0	0	0	0	0
1110038B12Rik	134	95	115	62	37	60	61	54	60	79
1110038F14Rik	754	784	701	865	484	815	711	838	668	861
1110046J04Rik	10	12	1	4	4	20	6	2	2	1
1110051M20Rik	111	167	165	167	97	262	153	143	125	135
1110057P08Rik	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	692	736	842	494	335	514	412	416	381	579
1110059G10Rik	407	480	447	422	299	446	281	469	305	399
1110060G06Rik	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	44	63	63	59	32	58	42	51	49	60
1190001M18Rik	0	2	0	2	0	0	0	0	0	4
1190002N15Rik	579	536	584	543	425	686	485	464	464	459
1190005I06Rik	1	2	0	1	0	2	0	1	0	0
1190007I07Rik	245	237	241	203	101	206	107	126	129	121
1190028D05Rik	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	5	1	16	4	0	0	2	0	6	3
1300002E11Rik	516	568	503	399	276	499	274	318	261	180
1300014J16Rik	46	74	33	127	20	50	78	103	65	42
1300017J02Rik	90	41	39	55	25	26	5	50	40	66
1500002C15Rik	28	41	26	21	25	10	41	37	33	53
1500002F19Rik	0	4	3	0	0	0	5	2	0	4
1500004A13Rik	89	181	192	242	157	237	192	180	175	98
1500005C15Rik	0	0	0	0	0	0	0	8	0	0
1500009C09Rik	1	0	3	0	0	1	0	0	0	0
1500009L16Rik	556	1142	1196	684	946	1340	582	485	480	255
1500011B03Rik	544	788	686	391	308	432	345	444	282	284
1500011K16Rik	180	174	196	160	63	136	141	156	126	170
1500012K07Rik	0	0	0	0	1	0	0	0	0	0
1500015A07Rik	154	158	150	141	148	142	111	141	105	90
1500015L24Rik	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	0	0	2	2	0	2	0	0	0	0
1500026H17Rik	3	5	2	3	0	2	4	8	3	4
1500035N22Rik	0	2	0	0	0	0	0	0	0	0
1520401A03Rik	11	0	7	1	0	0	3	2	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	0
1600002K03Rik	156	165	171	147	96	183	121	143	106	94
1600010M07Rik	79	46	52	40	15	7	20	88	68	164
1600012H06Rik	729	712	859	670	478	764	587	812	599	835
1600012P17Rik	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	2510	2081	2392	2272	1076	1323	2147	3425	2833	5144
1600014C23Rik	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0
1600017P15Rik	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	706	837	637	584	376	562	619	617	506	494
1600023N17Rik	8	8	17	3	5	9	21	4	2	10
1600025M17Rik	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	0	2	4	0	0	0	3	0	3	3
1700001C02Rik	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	1	0	4	0	0	0	0	0	3	0
1700001D01Rik	0	0	0	3	0	0	4	0	1	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	8	16	15	4	5	24	16	16	9	2
1700001G17Rik	6	3	8	2	6	0	11	10	0	3
1700001J03Rik	0	1	0	2	0	0	0	0	0	0
1700001J04Rik	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	4	6	1	3	6	0	0	4	0	3
1700001L05Rik	25	9	12	13	7	4	9	15	15	7
1700001L19Rik	0	1	0	0	0	0	0	0	0	0
1700001N15Rik	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	29	20	11	29	23	32	46	54	21	27
1700001P01Rik	1	0	0	0	1	0	3	0	3	3
1700003C15Rik	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	1	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	0	0	0	6
1700003E24Rik	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	0	3	0	0	1	1	0	0	1	0
1700003G13Rik	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0	1	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0
1700003I16Rik	1	0	1	0	0	0	0	0	3	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	3	2	0	0	0
1700003N22Rik	0	0	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	2	0	0	0	3	1	3
1700006F04Rik	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0
1700006J14Rik	73	31	29	15	4	20	1	11	15	16
1700006P03Rik	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	0	0	0	0	1	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	0	1	0	2	0	0	1	0	0	0
1700007J10Rik	0	1	1	4	0	4	0	6	2	3
1700007K09Rik	0	4	0	0	1	0	0	0	2	0
1700007K13Rik	0	0	0	0	0	0	0	0	2	5
1700007L15Rik	75	95	89	70	74	88	48	86	61	73
1700007M16Rik	0	0	0	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0	0	0
1700008A23Rik	0	0	0	0	0	0	0	0	0	0
1700008B11Rik	2	0	1	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0	0	0
1700008H02Rik	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	23	51	29	27	39	13	13	19	30	16
1700008K24Rik	0	0	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	2	1	0	1	0	0	4	2	0	0
1700008P02Rik	0	0	1	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	1	0	0	6	0	0	0	1	4	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	2	0	0	0	0
1700010B13Rik	0	1	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	112	134	92	72	59	103	86	69	69	81
1700010J16Rik	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0
1700010K24Rik	2	4	2	1	5	2	3	8	2	0
1700010L04Rik	0	0	0	0	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	18	16	15	6	6	0	3	28	12	33
1700011C11Rik	0	0	0	0	0	0	0	0	0	0
1700011D18Rik	0	1	3	0	1	1	0	0	0	0
1700011H14Rik	0	0	0	2	0	0	0	1	4	0
1700011I03Rik	0	2	0	0	2	0	1	1	3	2
1700011L03Rik	8	10	1	6	6	9	9	10	5	8
1700011L22Rik	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	5	6	10	9	2	10	8	15	3	6
1700012B09Rik	5	14	3	1	0	5	4	2	1	4
1700012C08Rik	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	0	0	0
1700012D14Rik	119	150	75	129	98	144	155	122	98	80
1700012D16Rik	0	0	0	0	0	1	1	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0
1700013A02Rik	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	1	0	0	1	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0
1700013M08Rik	0	0	0	0	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	0	0	0
1700014F14Rik	0	0	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0	0	0	0	0
1700015C15Rik	0	0	0	0	0	0	0	0	0	0
1700015C17Rik	1	8	0	0	1	5	2	2	1	0
1700015F17Rik	0	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0
1700015I17Rik	0	0	0	0	0	0	0	0	0	0
1700015O11Rik	4	0	1	0	1	0	0	1	0	0
1700016A09Rik	2	1	2	0	0	0	2	0	0	0
1700016B01Rik	0	0	0	0	0	0	0	0	0	0
1700016B15Rik	1	0	1	1	0	2	3	2	0	4
1700016C15Rik	0	2	3	3	1	2	0	5	1	7
1700016D06Rik	1	0	0	0	0	0	0	0	0	0
1700016D08Rik	0	0	0	0	0	0	0	0	0	0
1700016F12Rik	38	54	26	3	1	1	4	2	13	19
1700016G14Rik	1	1	1	1	0	3	3	0	3	5
1700016G22Rik	0	0	0	0	0	2	0	0	0	1
1700016H13Rik	0	0	0	0	1	0	0	0	0	0
1700016J18Rik	1	0	0	0	0	0	0	0	2	0
1700016K19Rik	0	0	0	0	0	1	0	1	1	0
1700016L21Rik	0	0	0	0	0	0	0	0	0	0
1700016P03Rik	2	1	1	2	1	3	0	6	2	4
1700016P04Rik	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	1647	2036	2995	2263	1513	1763	1708	1739	1452	1640
1700017D01Rik	0	0	0	2	0	0	0	1	0	1
1700017G19Rik	0	0	0	0	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	0	0	0
1700017M07Rik	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	1	0	0	0	0
1700018A14Rik	1	0	0	0	1	0	1	0	2	0
1700018A23Rik	1	0	2	2	4	2	10	2	0	1
1700018B08Rik	0	0	0	0	0	1	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	24	22	19	22	11	19	25	23	8	17
1700018M17Rik	3	3	0	0	0	1	0	0	3	1
1700018P08Rik	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	1	2	0	0	0	1	0	0
1700019A23Rik	1	0	0	1	0	0	0	0	0	0
1700019C18Rik	1	4	3	0	2	0	2	1	0	1
1700019D03Rik	139	224	29	161	70	252	97	121	59	66
1700019E08Rik	0	0	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	0	0
1700019J19Rik	2	6	0	5	2	3	5	0	2	0
1700019M22Rik	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0
1700019P21Rik	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	1	0	0	2	0	0	0	0
1700020D05Rik	0	2	3	5	0	4	0	0	0	0
1700020D12Rik	0	0	0	0	0	0	0	0	0	0
1700020G03Rik	0	1	1	0	0	0	0	0	1	0
1700020G17Rik	0	0	0	0	0	0	0	0	0	1
1700020I14Rik	2485	2423	2855	2184	1956	2777	2306	2383	1842	1807
1700020L24Rik	15	39	24	40	33	44	49	25	23	29
1700020M21Rik	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	2	0	5	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	1	0	1	2
1700021A07Rik	52	49	55	35	23	58	60	82	54	13
1700021F02Rik	0	0	1	0	0	0	0	0	0	0
1700021F05Rik	296	256	349	270	197	289	225	355	262	310
1700021F07Rik	0	0	0	0	0	0	0	0	0	0
1700021F13Rik	0	0	0	0	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0	0	0	0	0
1700021J08Rik	7	3	5	2	4	7	7	24	3	2
1700021L23Rik	0	0	0	0	0	0	0	0	0	0
1700021N21Rik	0	2	1	0	0	0	0	1	0	0
1700021P04Rik	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	0	3	1	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	4	0	0	0	0	0	4
1700022N22Rik	6	1	9	13	3	4	3	14	4	7
1700023C21Rik	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	1	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0	0	0
1700023G09Rik	0	0	0	0	0	0	0	0	0	0
1700023H06Rik	6	11	13	11	7	14	10	5	8	23
1700024B05Rik	0	0	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0
1700024I08Rik	0	0	0	0	0	0	1	0	0	1
1700024J04Rik	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0
1700025A08Rik	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	1	0	1	0	0	0	0	1	2	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	101	101	122	130	80	155	226	106	133	174
1700025H01Rik	0	0	0	0	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0
1700025L06Rik	0	0	0	0	0	0	0	0	0	1
1700025M24Rik	0	0	0	0	0	0	0	0	0	0
1700025N21Rik	3	2	3	9	2	2	2	0	1	0
1700025N23Rik	1	0	1	0	0	0	0	11	4	2
1700025O08Rik	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	10	26	16	3	4	25	18	17	4	7
1700026F02Rik	0	0	0	0	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	0	0	0
1700027A07Rik	0	3	0	6	1	4	1	2	4	0
1700027A15Rik	0	0	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	5	8	0	0	4	14	6	5	2	3
1700027H10Rik	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	1	0	4	0	0	0	0	0	0	4
1700028B04Rik	0	0	8	0	2	0	0	2	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	178	256	256	128	168	223	125	164	141	107
1700028I16Rik	0	0	0	0	0	1	0	0	0	0
1700028J19Rik	0	23	16	15	13	16	5	24	3	23
1700028K03Rik	0	6	0	0	0	0	0	2	0	0
1700028M03Rik	0	0	0	0	0	0	0	0	0	0
1700028N14Rik	19	22	28	26	17	22	7	27	21	37
1700028P14Rik	0	0	0	0	0	2	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0
1700029B24Rik	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	5	0	5	2	1	0	2	10	1	3
1700029I15Rik	38	38	47	18	21	38	18	31	26	41
1700029J03Rik	0	0	0	0	1	6	0	0	0	0
1700029J07Rik	66	19	39	17	6	41	40	44	31	65
1700029M03Rik	0	3	0	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	10	0	0	0	0	0	0
1700029N11Rik	2	0	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	42	32	31	12	15	48	29	40	33	31
1700030C12Rik	0	1	0	0	0	0	0	0	0	0
1700030C14Rik	0	0	0	0	0	0	0	0	0	0
1700030E10Rik	0	3	0	2	1	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	10	5	5	3	2	2	3	10	14	7
1700030K09Rik	213	177	164	231	104	174	226	216	150	224
1700030L20Rik	0	0	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	1	0	0	0	0	1	1	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0
1700030N18Rik	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	2	0	0	1	0	0
1700034B16Rik	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	2	1	6	2	1	3	18	6	5	4
1700034I23Rik	3	3	4	1	1	5	6	11	0	0
1700034J04Rik	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	14	16	9	2	0	2	10	5	0	6
1700036A12Rik	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	107	115	190	139	100	167	149	139	94	114
1700037F03Rik	0	3	0	0	0	0	0	0	0	0
1700037F24Rik	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	482	539	535	450	257	437	315	382	280	408
1700039E22Rik	0	0	0	0	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0	0	0
1700039M10Rik	0	3	0	0	0	0	0	0	1	0
1700039M15Rik	0	0	0	0	0	0	0	0	0	0
1700040D17Rik	0	1	1	1	0	0	0	2	1	2
1700040E09Rik	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	1	0	0	0	0
1700040K01Rik	0	0	0	0	0	0	0	0	0	0
1700040L08Rik	2	1	0	2	2	2	3	0	1	0
1700041C23Rik	0	0	0	0	0	0	0	0	0	0
1700041G16Rik	16	14	19	16	11	14	20	17	31	24
1700041I07Rik	0	0	0	0	0	0	0	0	0	0
1700041M05Rik	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0
1700042D02Rik	0	0	0	1	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	2	0	0	0	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0	0	0
1700045I11Rik	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0
1700047A11Rik	0	0	1	0	2	4	0	0	1	1
1700047F07Rik	0	0	0	1	0	0	0	0	0	0
1700047G03Rik	1	0	0	0	0	0	0	0	0	0
1700047G07Rik	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0	0	0	0	0
1700047K16Rik	0	0	3	7	0	4	4	7	0	6
1700047L14Rik	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	20	31	37	19	0	0	0	1	32	63
1700047N06Rik	0	0	0	0	0	0	0	0	0	2
1700047O18Rik	0	0	0	0	0	0	0	0	0	0
1700048F04Rik	0	0	0	0	0	0	0	0	0	0
1700048M11Rik	1	2	7	7	1	2	7	1	3	3
1700048O20Rik	66	40	78	51	15	49	55	87	52	33
1700048P04Rik	0	0	0	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0	0	0
1700049J03Rik	3	0	0	0	0	0	1	2	2	6
1700049L16Rik	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0
1700051K13Rik	0	1	0	0	0	0	0	0	0	0
1700051O22Rik	0	2	1	1	0	2	2	0	0	0
1700052H01Rik	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	175	162	162	162	138	182	111	96	129	147
1700054A03Rik	0	0	0	0	0	0	0	0	0	0
1700054K02Rik	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0
1700054O05Rik	0	0	0	0	0	0	0	0	0	0
1700054O19Rik	0	0	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0
1700055D18Rik	19	15	28	8	18	17	7	14	13	20
1700056E22Rik	24	33	37	27	12	31	28	19	21	20
1700056N10Rik	34	63	42	48	43	70	49	29	32	30
1700057G04Rik	0	0	1	0	1	0	0	4	0	0
1700057H15Rik	0	0	0	0	0	0	0	0	0	0
1700057H21Rik	0	0	1	0	0	1	0	0	0	0
1700058P15Rik	22	15	11	13	5	12	7	7	6	4
1700060C16Rik	0	0	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0	0
1700060J05Rik	0	0	0	0	0	0	2	1	0	1
1700060O08Rik	0	0	0	0	0	1	0	0	0	0
1700061E17Rik	0	0	0	0	0	0	0	0	0	0
1700061E18Rik	0	0	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	9	4	6	4	5	7	12	13	5	1
1700061H18Rik	0	0	0	0	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0	1	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0	0	0
1700061N14Rik	0	0	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	2	0	1	1	0	1	3	0	0	1
1700063H04Rik	29	10	9	8	3	14	0	14	5	5
1700063H06Rik	0	0	0	0	0	0	0	0	0	0
1700063I16Rik	0	0	0	0	0	0	0	0	0	0
1700063K16Rik	0	0	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	2	5	4	3	4	5	4	3	0	3
1700064J06Rik	0	0	0	0	0	0	0	0	0	0
1700064M15Rik	0	2	5	0	0	2	0	3	0	7
1700065D16Rik	1	2	14	3	3	16	0	3	0	0
1700065I16Rik	0	0	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0	0	0
