geneName	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Fth-ps2	7	0	0	7	6	3	8	8	2	6
Fth-ps3	0	0	0	0	0	0	0	0	0	0
Ftl1	4574	3706	3656	3248	3506	3294	4787	4016	2253	4597
Ftl1-ps1	93	66	72	51	46	66	64	56	49	57
Ftl1-ps2	0	0	1	0	1	0	0	0	1	2
Ftl2-ps	0	0	0	0	0	0	0	0	0	0
Ftmt	0	0	0	0	0	0	0	0	0	0
Fto	1201	871	865	804	842	917	1097	1129	788	1105
Ftsj1	367	376	419	483	359	431	547	439	253	504
Ftsj3	2842	2109	2401	1885	2130	1727	2388	2305	1728	1975
Ftx	114	139	124	124	102	103	131	124	87	161
Fubp1	3246	2985	3486	2843	2974	3174	3663	3454	2611	4074
Fubp3	530	474	454	381	475	487	502	509	384	550
Fuca1	2345	1805	1925	1952	1843	1940	2403	1924	1230	2179
Fuca2	2851	2293	3239	2529	2555	2325	2810	3068	2335	3677
Fuk	201	139	175	140	128	114	161	180	115	170
Fundc1	817	669	735	718	715	697	908	984	683	1190
Fundc2	810	667	703	914	652	880	882	972	658	1098
Fuom	51	45	54	80	65	55	83	82	46	76
Furin	1744	1409	1233	1895	1853	1965	1612	2156	1184	1399
Fus	1592	1501	1456	1652	1674	1682	1702	2091	1399	1870
Fut1	0	0	4	0	0	0	10	0	0	0
Fut10	0	0	0	0	0	0	0	0	3	0
Fut11	757	774	752	952	817	825	1057	1003	585	1085
Fut2	0	0	0	0	0	0	0	0	0	0
Fut4	31	13	18	25	42	15	34	37	14	29
Fut7	456	329	372	410	506	405	445	412	160	460
Fut8	3085	2658	3357	2506	2535	2751	3450	2899	2771	3561
Fut9	0	0	0	0	0	0	0	0	0	0
Fuz	133	77	127	114	113	123	123	137	91	150
Fv1	19	16	14	20	17	15	19	27	13	23
Fxn	406	327	311	399	337	405	373	420	280	507
Fxr1	736	679	881	637	537	722	826	930	647	899
Fxr2	956	688	800	778	849	879	947	919	579	826
Fxyd1	5	3	2	1	2	2	3	0	2	3
Fxyd2	0	1	0	0	0	0	0	0	0	0
Fxyd3	0	0	0	0	0	0	0	0	0	0
Fxyd4	7	8	9	0	1	8	8	3	7	8
Fxyd5	16523	15005	14896	19163	17306	17327	20950	19502	11885	27573
Fxyd6	0	0	0	0	0	0	0	0	0	0
Fxyd7	1	0	2	6	2	3	2	0	5	6
Fyb	6944	6729	6038	5589	4604	5079	6401	6730	4388	6139
Fyb2	0	0	0	0	0	0	0	0	0	0
Fyco1	2228	1426	2118	1459	1586	1616	2033	1554	1333	1499
Fyn	20405	15785	15934	12677	14363	13203	18687	16568	12778	16743
Fyttd1	1127	1239	1395	1092	1012	1155	1149	1223	1076	1415
Fzd1	1	0	0	0	0	0	0	0	0	0
Fzd10	0	0	0	0	1	2	0	0	0	0
Fzd2	0	0	0	0	0	0	0	0	0	0
Fzd3	0	0	0	7	0	4	0	0	0	0
Fzd4	0	27	5	0	6	0	0	0	0	0
Fzd5	24	4	15	16	25	15	33	27	8	39
Fzd6	24	2	11	6	9	24	23	0	24	2
Fzd7	0	0	0	0	0	0	16	12	0	0
Fzd8	0	0	0	0	0	0	0	0	0	0
Fzd9	0	0	0	0	6	0	0	0	0	2
Fzr1	2005	1496	1607	1750	1757	1710	2138	2276	917	2665
G0s2	90	65	68	82	110	51	172	53	56	77
G2e3	570	791	951	661	612	581	688	748	667	841
G3bp1	8300	7452	6894	6586	6106	6021	7747	8045	4564	7176
G3bp2	3801	3419	3823	3052	2988	3052	3807	3887	2771	4041
G430049J08Rik	0	0	0	0	0	0	0	0	0	0
G430095P16Rik	24	17	26	36	32	21	41	27	29	32
G530011O06Rik	1	0	8	0	8	1	12	9	5	8
G530012D18Rik	0	0	0	0	0	0	0	0	0	0
G630016G05Rik	0	0	0	0	0	0	0	0	0	1
G630018N14Rik	0	0	0	0	0	0	0	0	0	0
G630022F23Rik	0	0	0	0	0	0	0	0	0	0
G630030J09Rik	6	3	6	12	5	10	8	8	4	7
G630064G18Rik	0	0	0	0	0	0	0	0	0	0
G6pc	0	0	0	1	0	0	0	0	0	0
G6pc2	0	0	0	0	0	0	0	0	0	0
G6pc3	454	385	460	454	422	465	487	431	285	579
G6pd2	3	1	0	0	0	0	0	0	0	1
G6pdx	1813	1840	1943	1870	1999	1906	2104	2243	1278	2377
G730003C15Rik	3	4	4	8	7	3	5	0	1	10
G730013B05Rik	8	3	2	1	2	0	1	0	4	0
G930045G22Rik	0	0	0	0	0	0	0	0	0	0
Gaa	545	346	462	427	470	413	500	328	254	503
Gab1	0	0	0	0	0	0	20	2	0	1
Gab2	16	18	18	47	34	3	59	17	4	4
Gab3	833	780	828	694	710	693	859	953	692	1052
Gabarap	2434	2436	2355	2835	2409	2577	3252	3233	2473	3698
Gabarapl1	636	733	662	815	691	796	722	1059	515	1206
Gabarapl2	963	964	1018	1193	970	1033	1340	1333	805	1756
Gabbr1	227	287	254	274	291	308	248	321	229	398
Gabbr2	0	0	0	0	0	0	0	0	0	1
Gabpa	1777	1784	2098	1566	1667	1666	1929	2363	1759	1947
Gabpb1	1489	1547	1697	1348	1178	1351	1804	1954	1330	1940
Gabpb2	1113	1107	1149	973	862	942	1274	1355	945	1254
Gabra1	0	0	0	0	0	0	0	0	0	0
Gabra2	1	0	0	0	0	0	0	0	0	0
Gabra3	0	0	0	0	0	0	0	0	11	0
Gabra4	0	0	0	0	0	0	0	0	0	0
Gabra5	0	0	0	0	0	0	0	0	0	0
Gabra6	0	0	0	0	0	0	0	0	0	0
Gabrb1	7	0	0	2	0	1	0	1	0	0
Gabrb2	0	0	0	0	0	0	0	0	0	0
Gabrb3	0	0	0	0	0	0	0	0	0	0
Gabrd	7	8	8	6	17	10	0	6	3	10
Gabre	1	0	0	1	0	0	0	0	0	0
Gabrg1	0	0	0	0	0	0	0	0	0	0
Gabrg2	0	0	0	0	0	0	0	0	0	0
Gabrg3	0	0	0	0	4	0	0	0	0	0
Gabrp	0	0	0	0	0	0	0	0	0	0
Gabrq	0	0	0	0	0	0	0	0	1	0
Gabrr1	0	0	0	0	0	0	0	0	2	0
Gabrr2	40	0	37	0	25	1	53	8	18	0
Gabrr3	0	0	0	0	0	0	0	0	0	0
Gad1	0	0	0	0	0	0	0	0	0	0
Gad1os	0	0	0	0	0	0	0	0	0	0
Gad1-ps	1	0	6	0	0	0	1	3	0	0
Gad2	0	0	0	0	0	0	0	0	0	1
Gadd45a	56	60	73	42	58	51	52	64	41	51
Gadd45b	188	156	179	329	167	266	212	355	140	333
Gadd45g	101	97	84	132	111	82	204	174	97	142
Gadd45gip1	227	181	252	256	223	163	242	204	127	269
Gadl1	0	0	0	0	0	0	0	0	0	0
Gak	5523	4410	4500	4069	4585	4138	5478	5547	4028	4872
Gal	0	0	0	0	4	0	0	1	0	0
Gal3st1	4	2	2	0	0	0	3	1	1	6
Gal3st2	0	0	2	0	0	0	0	0	0	0
Gal3st2b	0	0	0	0	0	0	0	0	0	0
Gal3st2c	0	0	0	0	0	0	1	0	0	0
Gal3st3	0	0	2	0	0	0	0	0	0	0
Gal3st4	0	0	0	0	0	0	0	0	0	0
Galc	103	119	122	120	78	145	89	92	117	145
Gale	435	307	404	372	402	422	753	524	184	489
Galk1	501	383	317	406	582	416	465	404	242	510
Galk2	1243	937	1131	954	945	873	1130	1181	791	1224
Galm	341	350	284	318	200	281	250	400	225	319
Galns	476	459	437	372	453	401	528	673	219	609
Galnt1	6654	6337	6157	4510	4856	5006	6459	7211	4627	5919
Galnt10	999	727	773	675	799	696	1150	805	490	777
Galnt11	622	539	536	399	440	425	651	567	424	557
Galnt12	851	746	764	902	786	842	1099	991	563	1195
Galnt13	0	0	0	0	0	0	0	0	0	0
Galnt14	11	7	3	9	0	1	16	0	2	4
Galnt15	0	0	0	0	0	0	0	0	0	0
Galnt16	4	0	0	2	0	0	7	0	2	0
Galnt17	1	0	0	0	0	2	0	1	0	3
Galnt18	0	0	0	0	0	0	0	0	0	0
Galnt2	28	15	10	20	18	13	32	24	6	24
Galnt3	1193	1287	1244	1236	997	1179	1049	1753	1079	1747
Galnt4	390	363	435	337	265	340	305	463	218	282
Galnt5	0	0	0	1	0	2	1	1	0	0
Galnt6	2868	2135	2767	1996	2576	1989	3540	2167	1869	2165
Galnt6os	13	8	15	9	11	13	19	18	22	5
Galnt7	1896	1719	1950	1609	1381	1499	1758	1806	1434	1952
Galnt9	28	27	7	23	10	16	28	11	5	23
Galntl5	0	0	0	0	0	0	0	0	0	0
Galntl6	1	0	0	0	0	0	0	0	0	0
Galp	0	0	0	0	0	0	0	0	0	0
Galr1	0	0	0	0	0	0	0	0	0	0
Galr2	0	0	0	0	0	0	0	0	0	0
Galr3	11	2	1	4	7	2	3	11	2	6
Galt	449	467	412	432	478	457	537	478	270	634
Gamt	6	1	5	0	6	4	2	5	1	7
Gan	144	130	167	166	117	188	161	176	175	223
Ganab	4977	4310	4830	3775	3700	3970	4095	4596	2808	3860
Ganc	619	536	673	585	546	648	786	691	524	878
Gap43	0	0	0	0	0	0	0	0	0	0
Gapdh	12990	12543	10755	13936	12159	13395	13968	14230	6702	16248
Gapdh-ps14	0	0	0	2	4	2	1	2	0	1
Gapdh-ps15	0	0	1	0	1	0	0	0	0	0
Gapdhs	2	4	4	5	4	2	10	5	3	5
Gapt	2	12	4	0	0	0	0	0	0	0
Gapvd1	3239	2888	3333	2915	2866	2619	3332	3208	2717	2800
Gar1	272	252	235	408	356	398	444	367	265	432
Garem1	3	0	5	0	0	0	0	0	0	0
Garem2	1	0	0	0	0	0	0	0	0	4
Garnl3	1	0	5	1	8	0	0	4	0	7
Gars	5899	5236	5640	4300	4194	4384	5247	5373	3699	5412
Gart	2005	1573	1742	1305	1364	1184	1749	1821	1113	1613
Gas1	0	0	0	0	0	0	0	0	0	0
Gas2	199	279	290	339	206	315	300	406	155	306
Gas2l1	84	109	72	122	80	96	102	142	49	119
Gas2l2	0	0	0	0	0	0	0	0	0	0
Gas2l3	32	85	59	95	40	93	64	126	79	109
Gas5	1340	1040	1567	1638	1592	1511	2184	1562	1545	2500
Gas6	15	14	2	22	4	10	10	11	10	20
Gas7	105	65	117	55	99	91	141	85	92	52
Gas8	190	148	140	172	114	133	191	200	94	135
Gast	0	0	0	0	0	0	0	0	0	0
Gata1	14	7	30	9	13	4	36	12	8	3
Gata2	2	0	0	2	0	0	0	0	0	0
Gata3	1041	827	901	1070	1023	953	1220	1037	709	1329
Gata4	0	0	0	0	0	0	0	0	0	0
Gata5	0	0	0	0	0	0	0	0	0	0
Gata5os	0	0	0	0	0	0	0	0	0	0
Gata6	0	0	11	2	0	0	0	1	1	1
Gatad1	291	239	249	310	271	298	340	405	275	458
Gatad2a	7055	5608	5612	5726	6158	5635	7364	6714	4342	6652
Gatad2b	375	274	487	417	430	404	431	424	311	513
Gatb	273	190	261	180	135	258	227	257	162	387
Gatc	410	491	640	515	440	464	547	638	319	657
Gatd1	763	668	565	658	617	644	735	715	423	851
Gatm	120	17	106	41	89	22	102	49	38	27
Gatsl2	48	55	43	55	49	75	86	76	107	61
Gatsl3	252	252	230	230	234	234	354	297	135	243
Gba	3006	2616	2856	2702	2742	2463	3414	3185	1877	3817
Gba2	1704	1411	1545	1216	1139	1312	1833	1884	898	1475
Gbe1	595	545	646	446	491	459	454	628	469	771
Gbf1	2068	1614	1881	1558	1381	1559	1910	2008	1090	1479
Gbgt1	1	0	9	3	0	0	7	0	0	2
Gbp10	806	321	640	210	386	314	881	379	552	441
Gbp11	64	1	45	2	33	0	173	3	69	11
Gbp2	3698	2887	4288	2254	2861	2412	4257	3291	2607	3505
Gbp2b	85	16	217	5	55	43	42	59	90	81
Gbp2-ps	0	0	1	0	0	0	0	0	0	0
Gbp3	2716	2529	2827	2315	2311	2153	3096	2949	2210	2756
Gbp4	11316	7622	11791	6995	10185	8153	13073	10704	10684	10964
Gbp5	928	683	923	529	454	361	629	691	473	528
Gbp6	1581	1156	1943	1143	1651	1350	2210	1619	2048	2312
Gbp7	8693	7188	8680	7191	6964	6889	9283	9756	7574	9675
Gbp8	1820	1179	1729	1123	1553	1304	1923	1701	1804	1998
Gbp9	5716	3966	6177	3858	4902	4127	6088	5355	5835	6253
Gbx1	0	0	0	2	0	1	0	0	1	1
Gbx2	0	0	0	0	0	0	0	0	0	0
Gc	0	0	0	0	0	0	0	0	0	0
Gca	35	42	78	44	37	50	69	78	62	53
Gcat	122	139	59	115	123	118	142	171	48	179
Gcc1	1259	1072	1071	879	859	896	1060	1096	620	953
Gcc2	1188	1083	1493	1137	904	998	1253	1305	1024	1275
Gcdh	467	423	406	340	385	432	626	458	192	590
Gcfc2	542	465	720	455	569	409	391	494	468	486
Gcg	0	9	0	29	0	1	0	36	0	10
Gcgr	0	0	0	3	0	0	0	0	0	0
Gch1	598	539	558	646	471	432	633	726	470	770
Gchfr	0	0	0	0	0	0	0	0	0	2
Gck	0	0	0	0	0	0	0	0	0	0
Gckr	0	0	0	0	0	0	0	0	0	0
Gclc	1543	1530	1603	1356	1420	1457	1703	1754	1073	2001
Gclm	436	428	446	449	388	356	401	558	334	566
Gcm1	0	0	0	0	0	0	0	0	0	0
Gcm2	18	22	12	6	24	8	33	29	12	0
Gcn1l1	2389	1687	1481	1326	1663	1500	1851	1756	912	937
Gcnt1	247	166	212	137	181	97	259	132	152	170
Gcnt2	19	17	34	27	1	3	11	2	5	6
Gcnt3	0	0	0	22	0	0	0	0	0	0
Gcnt4	0	0	0	0	0	7	0	1	0	0
Gcnt7	48	61	117	81	61	54	80	50	57	95
Gcom1	0	0	0	0	0	0	0	0	0	0
Gcsam	0	5	21	5	5	15	0	0	10	6
Gcsh	170	233	226	257	226	222	422	268	230	371
Gda	3	0	19	10	0	9	0	18	0	12
Gdap1	0	0	0	0	0	0	0	0	0	0
Gdap10	257	309	451	245	206	221	396	310	264	283
Gdap1l1	2	2	0	2	0	0	0	0	0	0
Gdap2	1429	1202	1584	1157	977	1185	1450	1407	1084	2096
Gde1	997	830	824	789	878	911	1048	1001	599	1361
Gdf1	0	0	0	0	0	0	0	0	0	0
Gdf10	0	0	0	0	0	0	0	0	0	0
Gdf11	132	141	205	152	158	109	140	207	156	171
Gdf15	1	1	0	0	0	0	0	5	0	1
Gdf2	0	0	0	0	0	0	0	0	0	0
Gdf3	0	0	0	3	1	0	21	0	0	0
Gdf5	0	0	0	0	0	0	0	0	0	0
Gdf6	0	0	0	0	1	0	0	0	0	0
Gdf7	0	0	0	0	0	0	0	0	0	0
Gdf9	0	0	1	0	0	0	0	0	0	6
Gdi1	4290	3537	4292	4282	4061	4017	5098	5355	3369	5959
Gdi2	6829	7015	7441	6773	6323	7019	8405	9508	6926	10591
Gdnf	0	0	0	0	0	0	0	0	0	0
Gdpd1	12	5	16	8	12	15	13	25	14	26
Gdpd2	0	3	0	0	0	0	10	6	0	1
Gdpd3	8	5	3	5	8	8	4	10	1	1
Gdpd4	0	0	0	0	0	0	0	0	0	0
Gdpd5	569	542	385	553	545	502	527	542	238	619
Gdpgp1	507	384	461	341	398	414	525	451	298	511
Gem	1848	1524	2354	1721	1548	1332	2416	1948	1512	2417
Gemin2	434	519	541	429	408	399	534	583	411	614
Gemin4	7	5	4	12	10	6	6	11	7	10
Gemin5	975	733	867	805	712	610	776	847	570	747
Gemin6	139	140	237	214	200	155	257	227	150	315
Gemin6-ps	0	0	0	0	0	0	0	0	0	0
Gemin7	895	745	712	975	887	843	1183	898	565	1228
Gemin8	21	58	24	87	42	67	42	81	34	81
Gen1	209	262	254	185	210	195	274	335	152	249
Get4	1739	1701	1614	1776	1531	1705	1855	1843	948	1982
Gfap	0	0	0	0	0	1	1	0	0	5
Gfer	252	200	198	264	236	243	323	246	138	262
Gfi1	878	877	968	912	988	1046	1084	1025	634	1082
Gfi1b	1	10	18	1	3	6	0	18	0	14
Gfm1	1072	1093	1110	990	896	903	1196	1171	762	1215
Gfm2	1004	860	1167	851	799	762	1149	1272	665	823
Gfod1	119	162	144	171	139	169	122	156	91	138
Gfod2	86	30	39	78	90	34	85	45	24	108
Gfpt1	829	594	737	627	672	547	828	877	612	583
Gfpt2	0	0	0	0	0	0	0	0	0	0
Gfra1	0	0	0	0	0	0	0	0	0	0
Gfra2	13	1	1	5	3	0	11	0	9	0
Gfra3	0	0	3	0	0	0	0	0	0	0
Gfra4	0	0	0	1	0	0	0	0	0	0
Gfral	0	0	0	0	0	0	0	0	0	0
Gfy	0	0	0	0	0	0	0	0	0	0
Gga1	1183	993	915	1291	1250	1145	1412	1449	720	1377
Gga2	157	128	117	87	135	68	126	128	64	68
Gga3	888	850	676	668	705	730	890	922	543	895
Ggact	160	125	191	177	137	145	155	127	155	185
Ggct	519	505	551	533	562	512	584	680	421	668
Ggcx	503	300	224	243	245	245	264	425	143	273
Ggh	720	744	826	813	699	841	969	931	743	1218
Ggn	0	0	0	0	0	0	1	1	0	0
Ggnbp1	18	28	34	26	24	18	18	24	19	17
Ggnbp2	3676	3480	3967	3555	3027	3157	4060	4573	3216	5031
Ggps1	1144	932	1372	1155	1051	1091	1280	1491	1284	1499
Ggt1	2370	1598	1762	1334	1482	1364	2906	1919	1090	1915
Ggt5	15	2	19	3	35	14	12	21	16	2
Ggt6	0	0	0	0	0	0	0	0	0	0
Ggt7	61	61	31	102	52	80	59	77	38	113
Ggta1	734	883	816	644	793	669	698	1018	754	1059
Gh	2	1	0	0	0	0	3	0	0	0
Ghdc	103	121	89	111	121	103	83	116	52	141
Ghitm	8350	7413	8118	8652	7571	7964	9937	10211	6768	13322
Ghr	0	0	0	0	0	1	0	0	0	0
Ghrh	2	0	0	1	0	0	1	1	1	0
Ghrhr	0	0	0	0	0	0	0	0	0	0
Ghrl	1	0	0	2	0	4	1	0	0	2
Ghsr	0	0	0	0	1	0	0	0	0	0
Gid4	537	364	542	419	364	375	599	556	344	525
Gid8	503	485	475	446	452	410	481	607	404	484
Gif	0	0	6	0	0	0	0	0	0	0
Gigyf1	401	322	265	266	387	273	311	290	178	326
Gigyf2	1698	1447	1722	1309	1259	1216	1663	1273	1209	1446
Gimap1	6929	5822	5253	6625	6203	6115	7471	6819	3716	8881
Gimap1os	470	408	547	580	526	472	652	615	580	716
Gimap3	32968	25872	30835	24798	28055	25258	35346	32577	24363	34042
Gimap4	46320	39250	48754	40802	39993	39483	49213	51323	43142	55764
Gimap5	3537	3220	3054	3528	3181	3349	4143	3534	2460	5363
Gimap6	21833	17705	20074	17410	18424	17292	22772	21759	17388	28721
Gimap7	10081	7984	10674	8151	8003	7627	11325	9984	7272	9857
Gimap8	3089	2741	3127	2526	2384	2552	3126	3319	2555	2987
Gimap9	3230	3436	3522	3607	2870	3342	4105	4180	3237	5133
Gimd1	0	0	0	0	0	0	0	0	0	0
Gin1	372	350	461	504	399	473	406	479	369	757
Ginm1	936	915	964	893	942	970	1125	1051	873	1375
Gins1	186	197	140	179	132	202	245	229	140	246
Gins2	385	360	270	271	268	323	315	340	126	407
Gins3	462	475	459	472	278	415	527	523	236	507
Gins4	1161	1153	1247	1252	1013	1071	1272	1333	761	1524
Gip	0	0	0	0	0	0	0	0	0	0
Gipc1	1014	856	628	952	806	897	1049	928	395	1104
Gipc2	18	9	41	27	26	11	40	25	14	29
Gipc3	8	2	8	8	5	3	11	1	5	7
Gipr	0	0	0	0	0	0	0	0	0	0
Git1	1196	758	741	862	975	854	1049	1139	702	986
Git2	2802	2479	2655	2255	2272	2157	2529	2944	1961	2648
Gja1	2	0	0	0	0	0	33	0	0	0
Gja10	0	0	0	0	0	1	2	0	0	0
Gja3	0	0	0	0	0	0	0	0	0	0
Gja4	0	0	0	0	0	0	0	0	0	0
Gja5	10	6	12	12	5	6	6	6	2	15
Gja6	0	0	0	0	2	5	0	0	0	8
Gja8	0	0	2	0	0	3	0	0	0	5
Gjb1	0	0	0	0	0	0	0	0	0	0
Gjb2	4	15	0	12	3	4	17	11	2	11
Gjb3	0	0	0	0	0	0	0	0	0	0
Gjb4	0	0	0	0	0	0	0	0	0	0
Gjb5	0	0	0	0	0	0	0	0	0	0
Gjb6	0	0	0	0	0	0	0	0	0	0
Gjc1	2	0	0	0	0	0	0	0	0	3
Gjc2	0	0	0	0	0	0	0	0	0	0
Gjc3	0	0	0	0	0	0	0	0	0	0
Gjd2	0	0	0	0	0	0	0	0	0	0
Gjd3	0	0	0	1	0	0	0	1	0	0
Gjd4	0	0	0	0	0	0	0	0	0	0
Gje1	0	0	0	0	0	0	0	0	0	0
Gk	200	243	306	203	238	199	174	250	183	241
Gk2	0	0	0	0	0	0	0	0	0	0
Gk5	32	21	0	32	33	18	31	19	2	37
Gkap1	16	11	20	15	17	12	8	6	5	10
Gkn1	0	0	0	0	0	0	0	0	0	0
Gkn2	0	0	0	0	0	0	0	0	0	0
Gkn3	0	0	0	0	0	0	0	0	0	0
Gla	220	166	274	167	171	227	198	225	131	308
Glb1	1197	1026	869	826	807	872	1129	1063	668	1285
Glb1l	264	203	279	220	158	302	326	183	158	279
Glb1l2	0	0	0	0	0	0	0	0	0	0
Glb1l3	0	0	0	0	0	0	0	0	0	0
Glcci1	22	17	38	22	24	19	38	41	22	34
Glce	253	214	273	218	214	244	320	207	243	355
Gldc	612	674	676	874	699	893	711	924	528	1295
Gldn	0	0	0	0	0	0	0	0	0	0
Gldnos	0	0	0	0	0	0	0	0	0	0
Gle1	1872	1643	2006	1988	1640	1834	1890	2094	1269	1984
Glg1	5134	4417	4682	3798	3758	3532	4325	4607	3322	3993
Gli1	15	3	4	4	8	14	3	8	5	9
Gli2	0	1	0	0	0	0	0	0	0	0
Gli3	0	0	0	0	0	0	0	0	0	0
Glipr1	1434	1540	1741	1750	1283	1474	1910	2082	1311	2306
Glipr1l1	1	0	0	0	0	0	0	0	0	0
Glipr1l2	0	0	0	0	0	0	0	0	0	0
Glipr1l3	0	0	0	0	0	0	0	0	0	0
Glipr2	13113	10430	14393	11977	11302	10901	15400	13545	9246	14119
Glis1	0	5	2	10	8	3	8	4	2	9
Glis2	5	5	8	45	9	4	1	15	8	9
Glis3	10	0	7	2	7	0	1	13	8	0
Glmn	628	569	683	495	573	451	772	616	544	771
Glmp	4346	3672	3586	3592	3661	3486	4372	4146	2440	4814
Glns-ps1	0	0	0	0	0	0	0	0	0	0
Glo1	669	556	745	646	612	610	897	720	512	838
Glod4	1507	1463	1588	1154	1060	1194	1698	1612	1136	1590
Glod5	0	0	0	0	0	0	0	0	0	0
Glp1r	39	16	24	8	28	10	36	27	18	34
Glp2r	0	0	0	0	0	0	0	0	0	0
Glra1	0	1	0	0	0	0	0	0	0	0
Glra2	0	0	0	0	0	0	0	0	0	0
Glra3	0	0	0	0	0	0	0	0	0	0
Glra4	1	0	0	1	0	0	1	0	0	0
Glrb	0	0	0	0	0	0	0	0	0	0
Glrp1	5	6	1	5	0	3	20	0	0	6
Glrx	2797	2445	3342	2941	2532	2807	3318	3432	2379	3840
Glrx2	707	635	680	863	747	659	802	819	639	1096
Glrx3	1255	1107	1175	1256	1195	1173	1688	1486	1001	1781
Glrx5	1203	936	967	1209	1142	1157	1359	1232	748	1590
Gls	3618	3629	4720	3521	3297	3422	4331	4480	3992	4546
Gls2	7	9	0	1	3	2	3	5	0	0
Glt1d1	0	0	0	0	0	0	0	0	0	0
Glt28d2	0	4	0	0	0	0	0	7	7	0
Glt6d1	0	0	0	0	0	0	0	0	0	0
Glt8d1	225	203	224	247	193	197	217	264	146	253
Glt8d2	2	7	2	9	0	1	0	1	0	0
Gltp	5584	5181	5068	5344	4771	4818	6904	6178	3225	6996
Gltpd2	0	0	0	0	0	0	0	0	0	0
Glud1	5021	4360	5094	4706	4553	4725	5495	5328	4238	6668
Glud-ps	1	1	0	2	0	0	4	6	3	1
Glul	369	338	315	359	277	281	414	344	238	460
Glyat	0	0	0	0	0	0	0	0	0	0
Glyatl3	0	0	0	0	0	0	0	0	0	0
Glycam1	0	0	0	0	0	0	0	0	0	0
Glyctk	59	22	82	64	53	72	56	70	90	91
Glyr1	5421	4644	4647	4035	4202	4228	5151	5284	3372	4507
Gm1000	0	0	0	0	0	0	0	0	0	0
Gm10010	0	0	0	0	0	0	0	0	0	0
Gm10012	0	0	0	1	1	3	2	0	1	4
Gm10013	0	0	0	0	0	0	0	0	0	0
Gm10015	1	0	0	0	1	1	0	0	0	1
Gm10020	0	0	0	1	0	2	1	1	0	0
Gm10024	0	0	0	0	0	0	0	0	0	0
Gm10025	0	0	0	0	0	0	0	0	0	0
Gm10029	0	0	0	0	0	0	0	0	0	0
Gm10030	2	0	20	1	4	0	0	1	0	2
Gm10031	4	0	2	0	3	2	4	4	4	3
Gm10032	0	0	0	0	0	0	0	0	0	0
Gm10033	130	159	207	199	139	182	242	235	156	366
Gm10036	6	6	1	4	0	3	1	3	6	4
Gm10037	12	0	21	11	5	9	0	7	0	5
Gm10038	0	0	0	0	0	0	0	0	0	0
Gm10039	86	63	51	64	72	72	83	89	42	101
Gm10040	0	0	0	0	0	0	0	0	1	1
Gm10042	0	0	0	0	0	0	0	0	0	0
Gm10043	0	1	0	0	0	0	0	0	0	0
Gm10044	49	32	28	28	46	30	51	67	32	46
Gm10045	0	2	1	0	1	0	3	0	3	0
Gm10046	0	0	0	0	0	0	0	0	1	0
Gm10048	0	0	0	0	1	0	0	0	0	0
Gm10051	8	1	5	10	10	7	9	4	4	8
Gm10052	1	0	0	0	0	3	1	2	3	0
Gm10053	2	4	6	3	2	1	2	3	4	6
Gm10054	1	4	3	3	5	4	3	6	3	7
Gm10057	0	0	0	0	0	0	0	0	0	0
Gm10058	0	0	0	0	0	0	0	0	0	0
Gm10059	3	0	0	1	0	0	1	1	0	0
Gm10060	52	46	38	54	42	38	51	44	18	65
Gm10061	0	0	0	0	0	0	0	0	0	0
Gm10062	0	0	0	0	0	0	0	0	0	0
Gm10064	0	1	0	0	0	0	0	0	0	0
Gm10065	0	0	0	0	0	0	0	0	0	0
Gm10067	0	0	0	0	0	0	0	0	0	0
Gm10069	3	1	1	2	1	2	6	1	1	8
Gm10073	25	20	32	53	34	36	38	36	46	61
Gm10074	0	0	0	0	0	0	0	0	0	0
Gm10075	0	1	0	0	0	0	0	0	1	1
Gm10076	356	395	308	490	410	392	362	342	200	470
Gm10080	9	8	4	11	14	12	8	7	10	17
Gm10086	4	6	13	6	5	13	10	13	5	7
Gm10087	0	0	0	0	0	0	0	0	0	0
Gm10088	0	0	0	0	0	0	0	0	0	0
Gm10092	0	0	0	0	0	0	0	0	0	0
Gm10093	29	33	30	34	25	25	28	30	17	50
Gm10095	13	11	15	25	17	16	21	18	11	27
Gm10096	0	0	0	0	0	0	0	0	0	0
Gm10097	1	4	1	1	1	2	5	1	3	0
Gm10100	0	0	0	0	0	0	0	0	0	0
Gm10101	77	45	87	89	68	66	134	127	86	79
Gm10105	0	0	0	0	0	0	0	0	0	1
Gm10108	0	0	1	0	0	0	1	0	0	0
Gm10109	0	3	0	0	2	0	0	0	0	1
Gm10110	1	1	2	5	1	0	3	4	1	2
Gm10112	0	0	0	0	0	0	0	0	0	0
Gm10113	0	0	0	0	0	0	0	0	0	0
Gm10115	0	0	0	0	0	0	0	0	0	0
Gm10118	0	0	0	0	0	0	0	0	0	0
Gm10120	2	3	1	5	3	3	3	6	4	2
Gm10123	61	34	39	30	44	27	34	38	18	23
Gm10125	0	3	2	3	1	0	3	0	3	0
Gm10126	0	0	0	0	0	0	0	0	0	0
Gm10128	0	0	0	0	0	0	0	0	0	0
